Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1784164946.401	     4.786	0	202569	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-002-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-002-00000.npy
5	:	1784164946.406	     5.934	0	206524	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-004-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-004-00000.npy
2	:	1784164946.399	     8.195	0	188694	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-001-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-001-00000.npy
1	:	1784164946.396	     8.814	0	192477	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-000-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-000-00000.npy
8	:	1784164946.413	     9.462	0	191022	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-007-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-007-00000.npy
6	:	1784164946.409	    10.140	0	182001	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-005-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-005-00000.npy
10	:	1784164952.414	     5.830	0	195013	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-009-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-009-00000.npy
7	:	1784164946.411	    12.915	0	175468	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-006-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-006-00000.npy
14	:	1784164956.663	     5.388	0	179968	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-013-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-013-00000.npy
11	:	1784164954.717	     8.122	0	189762	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-010-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-010-00000.npy
12	:	1784164955.259	     7.727	0	207523	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-011-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-011-00000.npy
9	:	1784164951.268	    12.331	0	189995	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-008-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-008-00000.npy
15	:	1784164958.329	     6.773	0	181211	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-014-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-014-00000.npy
16	:	1784164959.414	     6.026	0	195793	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-015-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-015-00000.npy
18	:	1784164962.987	     5.197	0	178806	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-017-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-017-00000.npy
20	:	1784164963.688	     5.437	0	198103	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-019-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-019-00000.npy
17	:	1784164962.103	     7.358	0	192172	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-016-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-016-00000.npy
21	:	1784164965.168	     5.891	0	198355	0	0	download_file 'http://olmo-data.org/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-020-00000.npy' /n/netscratch/barak_lab/Everyone/sqin/olmo/preprocessed/dolma2-0625/v0.1-150b/allenai/dolma2-tokenizer/finemath-3plus/part-020-00000.npy
