"Step","370M_seed42_case3_dclm_repeat_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX"
"50","6.722901344299316","6.722901344299316","6.722901344299316","7.073447227478027","7.073447227478027","7.073447227478027","6.830466270446777","6.830466270446777","6.830466270446777","6.852680206298828","6.852680206298828","6.852680206298828","6.814263820648193","6.814263820648193","6.814263820648193","7.183300971984863","7.183300971984863","7.183300971984863","6.871976375579834","6.871976375579834","6.871976375579834","7.1674885749816895","7.1674885749816895","7.1674885749816895","6.7848076820373535","6.7848076820373535","6.7848076820373535","","","","6.8657026290893555","6.8657026290893555","6.8657026290893555","7.1747050285339355","7.1747050285339355","7.1747050285339355"
"100","6.108548164367676","6.108548164367676","6.108548164367676","6.40045690536499","6.40045690536499","6.40045690536499","6.267394065856934","6.267394065856934","6.267394065856934","6.103928565979004","6.103928565979004","6.103928565979004","6.226538181304932","6.226538181304932","6.226538181304932","6.222019672393799","6.222019672393799","6.222019672393799","6.089030742645264","6.089030742645264","6.089030742645264","6.219483375549316","6.219483375549316","6.219483375549316","6.162865161895752","6.162865161895752","6.162865161895752","","","","6.308778762817383","6.308778762817383","6.308778762817383","6.201265335083008","6.201265335083008","6.201265335083008"
"150","5.6599297523498535","5.6599297523498535","5.6599297523498535","6.074392795562744","6.074392795562744","6.074392795562744","5.937782287597656","5.937782287597656","5.937782287597656","5.725492477416992","5.725492477416992","5.725492477416992","5.778753757476807","5.778753757476807","5.778753757476807","5.727227210998535","5.727227210998535","5.727227210998535","5.650576591491699","5.650576591491699","5.650576591491699","5.703608512878418","5.703608512878418","5.703608512878418","5.686151027679443","5.686151027679443","5.686151027679443","","","","5.920487880706787","5.920487880706787","5.920487880706787","5.69840145111084","5.69840145111084","5.69840145111084"
"200","5.326062202453613","5.326062202453613","5.326062202453613","5.781032085418701","5.781032085418701","5.781032085418701","5.590573787689209","5.590573787689209","5.590573787689209","5.335061550140381","5.335061550140381","5.335061550140381","5.459510803222656","5.459510803222656","5.459510803222656","5.438623428344727","5.438623428344727","5.438623428344727","5.343306064605713","5.343306064605713","5.343306064605713","5.385653972625732","5.385653972625732","5.385653972625732","5.339456081390381","5.339456081390381","5.339456081390381","","","","5.558360576629639","5.558360576629639","5.558360576629639","5.379965305328369","5.379965305328369","5.379965305328369"
"250","5.031832218170166","5.031832218170166","5.031832218170166","5.515036582946777","5.515036582946777","5.515036582946777","5.3149261474609375","5.3149261474609375","5.3149261474609375","5.039037227630615","5.039037227630615","5.039037227630615","5.1981730461120605","5.1981730461120605","5.1981730461120605","5.1724653244018555","5.1724653244018555","5.1724653244018555","4.983550548553467","4.983550548553467","4.983550548553467","5.134039402008057","5.134039402008057","5.134039402008057","4.979170322418213","4.979170322418213","4.979170322418213","","","","5.267553329467773","5.267553329467773","5.267553329467773","5.119451999664307","5.119451999664307","5.119451999664307"
"300","4.727402210235596","4.727402210235596","4.727402210235596","5.309628486633301","5.309628486633301","5.309628486633301","5.025810241699219","5.025810241699219","5.025810241699219","4.800820350646973","4.800820350646973","4.800820350646973","4.907214164733887","4.907214164733887","4.907214164733887","4.9590911865234375","4.9590911865234375","4.9590911865234375","4.763626575469971","4.763626575469971","4.763626575469971","4.923550605773926","4.923550605773926","4.923550605773926","4.728655815124512","4.728655815124512","4.728655815124512","","","","4.953200817108154","4.953200817108154","4.953200817108154","4.941190719604492","4.941190719604492","4.941190719604492"
"350","4.513974189758301","4.513974189758301","4.513974189758301","5.11751127243042","5.11751127243042","5.11751127243042","4.787617206573486","4.787617206573486","4.787617206573486","4.6520843505859375","4.6520843505859375","4.6520843505859375","4.743291854858398","4.743291854858398","4.743291854858398","4.814101696014404","4.814101696014404","4.814101696014404","4.553792476654053","4.553792476654053","4.553792476654053","4.7945990562438965","4.7945990562438965","4.7945990562438965","4.540348052978516","4.540348052978516","4.540348052978516","","","","4.7413458824157715","4.7413458824157715","4.7413458824157715","4.778690338134766","4.778690338134766","4.778690338134766"
"400","4.32456111907959","4.32456111907959","4.32456111907959","4.9767022132873535","4.9767022132873535","4.9767022132873535","4.610376834869385","4.610376834869385","4.610376834869385","4.477077484130859","4.477077484130859","4.477077484130859","4.511826515197754","4.511826515197754","4.511826515197754","4.664790153503418","4.664790153503418","4.664790153503418","4.376156330108643","4.376156330108643","4.376156330108643","4.617506980895996","4.617506980895996","4.617506980895996","4.29819917678833","4.29819917678833","4.29819917678833","4.395261764526367","4.395261764526367","4.395261764526367","4.524461269378662","4.524461269378662","4.524461269378662","4.602476596832275","4.602476596832275","4.602476596832275"
"450","4.208860397338867","4.208860397338867","4.208860397338867","4.855374336242676","4.855374336242676","4.855374336242676","4.408533096313477","4.408533096313477","4.408533096313477","4.325210094451904","4.325210094451904","4.325210094451904","4.3756303787231445","4.3756303787231445","4.3756303787231445","4.52509069442749","4.52509069442749","4.52509069442749","4.250877380371094","4.250877380371094","4.250877380371094","4.498893737792969","4.498893737792969","4.498893737792969","4.164907932281494","4.164907932281494","4.164907932281494","4.268576145172119","4.268576145172119","4.268576145172119","4.345923900604248","4.345923900604248","4.345923900604248","4.495278835296631","4.495278835296631","4.495278835296631"
"500","4.067867279052734","4.067867279052734","4.067867279052734","4.754247665405273","4.754247665405273","4.754247665405273","4.244654178619385","4.244654178619385","4.244654178619385","4.235476016998291","4.235476016998291","4.235476016998291","4.254042625427246","4.254042625427246","4.254042625427246","4.4432477951049805","4.4432477951049805","4.4432477951049805","4.135811805725098","4.135811805725098","4.135811805725098","4.404999256134033","4.404999256134033","4.404999256134033","4.058164596557617","4.058164596557617","4.058164596557617","4.134387969970703","4.134387969970703","4.134387969970703","4.16681432723999","4.16681432723999","4.16681432723999","4.394256591796875","4.394256591796875","4.394256591796875"
