"Step","370M_seed42_case4_dclm_extended_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MAX"
"50","7.100888252258301","7.100888252258301","7.100888252258301","6.751675128936768","6.751675128936768","6.751675128936768","6.835700511932373","6.835700511932373","6.835700511932373","7.209040641784668","7.209040641784668","7.209040641784668","6.82261323928833","6.82261323928833","6.82261323928833","6.723121166229248","6.723121166229248","6.723121166229248","6.867429256439209","6.867429256439209","6.867429256439209","6.852316379547119","6.852316379547119","6.852316379547119","7.204424858093262","7.204424858093262","7.204424858093262","7.20723819732666","7.20723819732666","7.20723819732666","6.882025241851807","6.882025241851807","6.882025241851807","6.836456775665283","6.836456775665283","6.836456775665283"
"100","6.34849214553833","6.34849214553833","6.34849214553833","6.168665409088135","6.168665409088135","6.168665409088135","6.094095706939697","6.094095706939697","6.094095706939697","6.284206390380859","6.284206390380859","6.284206390380859","6.319437026977539","6.319437026977539","6.319437026977539","6.104304790496826","6.104304790496826","6.104304790496826","6.099126815795898","6.099126815795898","6.099126815795898","6.111879825592041","6.111879825592041","6.111879825592041","6.2053542137146","6.2053542137146","6.2053542137146","6.210269927978516","6.210269927978516","6.210269927978516","6.160222053527832","6.160222053527832","6.160222053527832","6.374049663543701","6.374049663543701","6.374049663543701"
"150","5.94333553314209","5.94333553314209","5.94333553314209","5.791970729827881","5.791970729827881","5.791970729827881","5.62775182723999","5.62775182723999","5.62775182723999","5.710025310516357","5.710025310516357","5.710025310516357","5.887472152709961","5.887472152709961","5.887472152709961","5.653547763824463","5.653547763824463","5.653547763824463","5.616178512573242","5.616178512573242","5.616178512573242","5.7078537940979","5.7078537940979","5.7078537940979","5.723885536193848","5.723885536193848","5.723885536193848","5.729062557220459","5.729062557220459","5.729062557220459","5.744775295257568","5.744775295257568","5.744775295257568","5.959105014801025","5.959105014801025","5.959105014801025"
"200","5.683069229125977","5.683069229125977","5.683069229125977","5.401336669921875","5.401336669921875","5.401336669921875","5.317702293395996","5.317702293395996","5.317702293395996","5.430865287780762","5.430865287780762","5.430865287780762","5.597553730010986","5.597553730010986","5.597553730010986","5.29588508605957","5.29588508605957","5.29588508605957","5.274906158447266","5.274906158447266","5.274906158447266","5.340516567230225","5.340516567230225","5.340516567230225","5.3765950202941895","5.3765950202941895","5.3765950202941895","5.397860050201416","5.397860050201416","5.397860050201416","5.323385715484619","5.323385715484619","5.323385715484619","5.6010355949401855","5.6010355949401855","5.6010355949401855"
"250","5.49214506149292","5.49214506149292","5.49214506149292","5.117205619812012","5.117205619812012","5.117205619812012","5.040284633636475","5.040284633636475","5.040284633636475","5.15212345123291","5.15212345123291","5.15212345123291","5.269534111022949","5.269534111022949","5.269534111022949","5.021653175354004","5.021653175354004","5.021653175354004","4.987387180328369","4.987387180328369","4.987387180328369","5.021212100982666","5.021212100982666","5.021212100982666","5.1304755210876465","5.1304755210876465","5.1304755210876465","5.134093761444092","5.134093761444092","5.134093761444092","5.059128761291504","5.059128761291504","5.059128761291504","5.331291675567627","5.331291675567627","5.331291675567627"
"300","5.25386905670166","5.25386905670166","5.25386905670166","4.906068801879883","4.906068801879883","4.906068801879883","4.782754898071289","4.782754898071289","4.782754898071289","4.969833850860596","4.969833850860596","4.969833850860596","4.944948196411133","4.944948196411133","4.944948196411133","4.737995147705078","4.737995147705078","4.737995147705078","4.760402679443359","4.760402679443359","4.760402679443359","4.744752883911133","4.744752883911133","4.744752883911133","4.93720006942749","4.93720006942749","4.93720006942749","4.931234836578369","4.931234836578369","4.931234836578369","4.810564041137695","4.810564041137695","4.810564041137695","5.02462100982666","5.02462100982666","5.02462100982666"
"350","5.16261100769043","5.16261100769043","5.16261100769043","4.725227355957031","4.725227355957031","4.725227355957031","4.602668285369873","4.602668285369873","4.602668285369873","4.823995113372803","4.823995113372803","4.823995113372803","4.813624382019043","4.813624382019043","4.813624382019043","4.511551380157471","4.511551380157471","4.511551380157471","4.557727336883545","4.557727336883545","4.557727336883545","4.549581527709961","4.549581527709961","4.549581527709961","4.8054728507995605","4.8054728507995605","4.8054728507995605","4.788919448852539","4.788919448852539","4.788919448852539","4.646187782287598","4.646187782287598","4.646187782287598","4.7996368408203125","4.7996368408203125","4.7996368408203125"
"400","4.933797359466553","4.933797359466553","4.933797359466553","4.517158508300781","4.517158508300781","4.517158508300781","4.446696758270264","4.446696758270264","4.446696758270264","4.655755519866943","4.655755519866943","4.655755519866943","4.553537368774414","4.553537368774414","4.553537368774414","4.30529260635376","4.30529260635376","4.30529260635376","4.348372459411621","4.348372459411621","4.348372459411621","4.32260274887085","4.32260274887085","4.32260274887085","4.642805576324463","4.642805576324463","4.642805576324463","4.617894172668457","4.617894172668457","4.617894172668457","4.421196460723877","4.421196460723877","4.421196460723877","4.5647101402282715","4.5647101402282715","4.5647101402282715"
"450","4.81980562210083","4.81980562210083","4.81980562210083","4.382065296173096","4.382065296173096","4.382065296173096","4.291347980499268","4.291347980499268","4.291347980499268","4.543951511383057","4.543951511383057","4.543951511383057","4.396395683288574","4.396395683288574","4.396395683288574","4.152431011199951","4.152431011199951","4.152431011199951","4.230374336242676","4.230374336242676","4.230374336242676","4.211118698120117","4.211118698120117","4.211118698120117","4.539594650268555","4.539594650268555","4.539594650268555","4.520991802215576","4.520991802215576","4.520991802215576","4.2792768478393555","4.2792768478393555","4.2792768478393555","4.384486198425293","4.384486198425293","4.384486198425293"
"500","4.859062671661377","4.859062671661377","4.859062671661377","4.266395092010498","4.266395092010498","4.266395092010498","4.191197872161865","4.191197872161865","4.191197872161865","4.436557292938232","4.436557292938232","4.436557292938232","4.24330997467041","4.24330997467041","4.24330997467041","4.062515735626221","4.062515735626221","4.062515735626221","4.135066986083984","4.135066986083984","4.135066986083984","4.067096710205078","4.067096710205078","4.067096710205078","4.423115253448486","4.423115253448486","4.423115253448486","4.419191360473633","4.419191360473633","4.419191360473633","4.178941249847412","4.178941249847412","4.178941249847412","4.215195655822754","4.215195655822754","4.215195655822754"
