source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,run_name,learning_rate,weight_decay,D_files,D_dir,D_prime_files,D_prime_dir,D_prime_corpus,paraphrase_seeds,data_mix,tokens_evaluated,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
paraphrase,14m,14000000,0.5,140000000,1,1,43029559,183029559,0.307354,10.0,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,0.003,0.1,train_0.14B.npy,preprocessed/dolma2-0625/resharded,train_0.14B_seed1.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1,,3478624,7.3265,0.998907,140.543668,182982543,7.609957,-0.03796,True
paraphrase,14m,14000000,0.5,140000000,1,2,89900222,229900222,0.642144,10.0,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,0.003,0.1,train_0.14B.npy,preprocessed/dolma2-0625/resharded,train_0.14B_seed1.npy;train_0.14B_seed2.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-2,,3478624,7.0777,0.997719,140.543668,229695157,7.204456,-0.017751,True
paraphrase,14m,14000000,0.5,140000000,1,4,181959292,321959292,1.299709,10.0,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,0.003,0.1,train_0.14B.npy,preprocessed/dolma2-0625/resharded,train_0.14B_seed1.npy;train_0.14B_seed2.npy;train_0.14B_seed3.npy;train_0.14B_seed4.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-4,,3478624,6.763,0.99539,140.543668,321120525,6.67584,0.012971,True
paraphrase,14m,14000000,0.5,140000000,1,8,364642377,504642377,2.604588,10.0,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,0.003,0.1,train_0.14B.npy,preprocessed/dolma2-0625/resharded,train_0.14B_seed1.npy;train_0.14B_seed2.npy;train_0.14B_seed3.npy;train_0.14B_seed4.npy;train_0.14B_seed5.npy;train_0.14B_seed6.npy;train_0.14B_seed7.npy;train_0.14B_seed8.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-8,,3478624,6.2351,0.990791,140.543668,501284334,6.083157,0.024671,True
paraphrase,14m,14000000,1.0,280000000,1,1,85571284,365571284,0.305612,20.0,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,train_0.28B_seed1.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1,,3478624,6.634,0.997322,56.958907,365342129,6.492098,0.021622,True
paraphrase,14m,14000000,1.0,280000000,1,2,178334183,458334183,0.636908,20.0,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,train_0.28B_seed1.npy;train_0.28B_seed2.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-2,,3478624,6.38,0.99443,56.958907,457340833,6.195985,0.029267,True
paraphrase,14m,14000000,1.0,280000000,1,4,360913409,640913409,1.288976,20.0,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,train_0.28B_seed1.npy;train_0.28B_seed2.npy;train_0.28B_seed3.npy;train_0.28B_seed4.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-4,,3478624,5.9036,0.98877,56.958907,636860316,5.809246,0.016111,True
paraphrase,14m,14000000,1.0,280000000,1,8,723895032,1003895032,2.585339,20.0,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,train_0.28B_seed1.npy;train_0.28B_seed2.npy;train_0.28B_seed3.npy;train_0.28B_seed4.npy;train_0.28B_seed5.npy;train_0.28B_seed6.npy;train_0.28B_seed7.npy;train_0.28B_seed8.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-8,,3478624,5.4743,0.977645,56.958907,987712163,5.375912,0.018136,True
paraphrase,14m,14000000,2.0,560000000,1,1,172746714,732746714,0.308476,40.0,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,0.003,0.1,train_0.56B.npy,preprocessed/dolma2-0625/resharded,train_0.56B_seed1.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1,,3478624,5.7062,0.993348,23.08405,731597616,5.663208,0.007563,True
paraphrase,14m,14000000,2.0,560000000,1,2,359813663,919813663,0.642524,40.0,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,0.003,0.1,train_0.56B.npy,preprocessed/dolma2-0625/resharded,train_0.56B_seed1.npy;train_0.56B_seed2.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-2,,3478624,5.5413,0.986211,23.08405,914852252,5.445707,0.017401,True
