source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,run_name,learning_rate,weight_decay,D_files,D_dir,D_prime_files,D_prime_dir,D_prime_corpus,paraphrase_seeds,data_mix,tokens_evaluated,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
repeat,14m,14000000,0.05,14000000,2,,14000000,28000000,1.0,1.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.014B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.014B,3478624,9.2009,0.991768,60.406604,27884755,13.083142,-0.352023,False
repeat,14m,14000000,0.05,14000000,4,,42000000,56000000,3.0,1.0,14M_seed42_case4_dolma_epoch4_wd0.1_lr3e-3,0.003,0.1,train_0.014B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.014B,3478624,8.2162,0.975574,60.406604,54974121,10.575727,-0.252454,False
repeat,14m,14000000,0.05,14000000,8,,98000000,112000000,7.0,1.0,14M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.014B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.014B,3478624,7.8159,0.944234,60.406604,106534935,8.753579,-0.113303,True
repeat,14m,14000000,0.05,14000000,16,,210000000,224000000,15.0,1.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.014B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.014B,3478624,7.0861,0.885511,60.406604,199957254,7.446919,-0.049665,True
repeat,14m,14000000,0.05,14000000,32,,434000000,448000000,31.0,1.0,14M_seed42_case4_dolma_epoch32_wd0.2_lr3e-3,0.003,0.2,train_0.014B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.014B,3478624,6.4091,0.7822,60.406604,353474741,6.538143,-0.019934,True
repeat,14m,14000000,0.05,14000000,64,,882000000,896000000,63.0,1.0,14M_seed42_case4_dolma_epoch64_wd0.4_lr3e-3,0.003,0.4,train_0.014B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.014B,3478624,6.1188,0.620923,60.406604,561653728,5.949458,0.028066,True
repeat,14m,14000000,0.1,28000000,2,,28000000,56000000,1.0,2.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.028B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.028B,3478624,8.2144,0.989037,45.272728,55693027,10.53463,-0.248779,False
repeat,14m,14000000,0.1,28000000,4,,84000000,112000000,3.0,2.0,14M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_0.028B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.028B,3478624,7.8615,0.967587,45.272728,109277337,8.693564,-0.100606,True
repeat,14m,14000000,0.1,28000000,8,,196000000,224000000,7.0,2.0,14M_seed42_case4_dolma_epoch8_wd0.4_lr3e-3,0.003,0.4,train_0.028B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.028B,3478624,7.1053,0.926526,45.272728,209599070,7.362909,-0.035614,True
repeat,14m,14000000,0.1,28000000,16,,420000000,448000000,15.0,2.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.028B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.028B,3478624,6.387,0.851213,45.272728,385509490,6.418585,-0.004933,True
repeat,14m,14000000,0.1,28000000,32,,868000000,896000000,31.0,2.0,14M_seed42_case4_dolma_epoch32_wd0.4_lr3e-3,0.003,0.4,train_0.028B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.028B,3478624,5.7526,0.72404,45.272728,656466433,5.776555,-0.004156,True
repeat,14m,14000000,0.1,28000000,64,,1764000000,1792000000,63.0,2.0,14M_seed42_case4_dolma_epoch64_wd0.8_lr3e-3,0.003,0.8,train_0.028B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.028B,3478624,5.6692,0.539906,45.272728,980393604,5.382584,0.051879,True
repeat,14m,14000000,0.25,70000000,2,,70000000,140000000,1.0,5.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.07B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.07B,3478624,7.6403,0.984003,30.92204,138880225,8.159187,-0.065708,True
repeat,14m,14000000,0.25,70000000,4,,210000000,280000000,3.0,5.0,14M_seed42_case4_dolma_epoch4_wd0.1_lr3e-3,0.003,0.1,train_0.07B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.07B,3478624,6.8801,0.953022,30.92204,270134692,6.938924,-0.008514,True
