stream,run_name,size,N_params,chinchilla_scale,D_tokens,epochs,K,learning_rate,weight_decay,seed,val_loss,perplexity,tokens_evaluated,run_complete,selected_for_scaling_fit,source_file
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr1e-3,14m,14000000,0.05,14000000,,1,0.001,0.1,42,10.901241979722082,54243.70703125,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K1_wd0.1_lr1e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,0.05,14000000,,1,0.003,0.1,42,9.937749771696051,20697.12109375,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,0.05,14000000,,1,0.003,0.2,42,9.940297542543492,20749.908203125,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,0.05,14000000,,2,0.003,0.1,42,9.613975873221081,14972.576171875,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,0.05,14000000,,2,0.003,0.2,42,9.617225383996571,15021.3173828125,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,0.05,14000000,,4,0.003,0.1,42,8.98225510815753,7960.56298828125,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,0.05,14000000,,4,0.003,0.2,42,8.987458353262713,8002.09130859375,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,0.05,14000000,,8,0.003,0.1,42,8.379982613994786,4358.9345703125,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,0.05,14000000,,8,0.003,0.2,42,8.385104022654684,4381.31494140625,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,0.1,28000000,,1,0.003,0.1,42,8.755312915747856,6344.3056640625,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,0.1,28000000,,1,0.003,0.2,42,8.760486534881052,6377.2138671875,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,0.1,28000000,,2,0.003,0.1,42,8.456803759193155,4706.9873046875,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,0.1,28000000,,2,0.003,0.2,42,8.46198072142826,4731.4208984375,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,0.1,28000000,,4,0.003,0.1,42,8.153407087168752,3475.19921875,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,0.1,28000000,,4,0.003,0.2,42,8.155970586891677,3484.119384765625,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,0.1,28000000,,8,0.003,0.1,42,8.00238809025247,2988.0849609375,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,0.1,28000000,,8,0.003,0.2,42,8.003353106930266,2990.97021484375,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,0.25,70000000,,1,0.003,0.1,42,7.988730640547006,2947.552490234375,3478624,True,False,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,0.25,70000000,,1,0.003,0.2,42,7.9886566966127,2947.334716796875,3478624,True,True,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,0.25,70000000,,2,0.003,0.1,42,7.902785625621115,2704.806884765625,3478624,True,True,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,0.25,70000000,,2,0.003,0.2,42,7.905340642452797,2711.72607421875,3478624,True,False,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,0.25,70000000,,4,0.003,0.1,42,7.536568510744793,1875.3839111328125,3478624,True,True,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,0.25,70000000,,4,0.003,0.2,42,7.583016081052047,1964.544921875,3478624,True,False,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,0.25,70000000,,8,0.003,0.1,42,7.02995423899449,1129.9791259765625,3478624,True,False,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,0.25,70000000,,8,0.003,0.2,42,7.028650451709003,1128.5064697265625,3478624,True,True,dolma_para_val_loss/chinchilla_0.25/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,0.5,140000000,,1,0.003,0.1,42,7.3265271773778675,1520.093505859375,3478624,True,True,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,0.5,140000000,,1,0.003,0.2,42,7.353171538583755,1561.1396484375,3478624,True,False,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,0.5,140000000,,2,0.003,0.1,42,7.077678103058629,1185.2135009765625,3478624,True,True,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,0.5,140000000,,2,0.003,0.2,42,7.081363858805279,1189.589599609375,3478624,True,False,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,0.5,140000000,,4,0.003,0.1,42,6.762951928311848,865.1923217773438,3478624,True,True,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,0.5,140000000,,4,0.003,0.2,42,6.797186431060816,895.3246459960938,3478624,True,False,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,0.5,140000000,,8,0.003,0.1,42,6.235093031531648,510.34814453125,3478624,True,True,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,0.5,140000000,,8,0.003,0.2,42,6.243698598204483,514.7588500976562,3478624,True,False,dolma_para_val_loss/chinchilla_0.5/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,1.0,280000000,,1,0.003,0.1,42,6.633976089168874,760.4998779296875,3478624,True,True,dolma_para_val_loss/chinchilla_1/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,1.0,280000000,,1,0.003,0.2,42,6.647939101434666,771.1934204101562,3478624,True,False,dolma_para_val_loss/chinchilla_1/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,1.0,280000000,,2,0.003,0.1,42,6.3799589448838105,589.903564453125,3478624,True,True,dolma_para_val_loss/chinchilla_1/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,1.0,280000000,,2,0.003,0.2,42,6.4000070898549115,601.8494262695312,3478624,True,False,dolma_para_val_loss/chinchilla_1/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
