stream,run_name,size,N_params,chinchilla_scale,D_tokens,epochs,K,learning_rate,weight_decay,seed,val_loss,perplexity,tokens_evaluated,run_complete,selected_for_scaling_fit,source_file
selfdistill,30M_seed42_dolma_selfdistill_K1_wd0.1_lr1e-3,30m,30000000,0.25,150000000,,1,0.001,0.1,42,6.629222047151627,756.8930053710938,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K1_wd0.1_lr1e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K1_wd0.2_lr1e-3,30m,30000000,0.25,150000000,,1,0.001,0.2,42,6.647057948230527,770.51416015625,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K1_wd0.2_lr1e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K1_wd0.4_lr1e-3,30m,30000000,0.25,150000000,,1,0.001,0.4,42,6.6452546171318385,769.1258544921875,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K1_wd0.4_lr1e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K1_wd0.1_lr3e-3,30m,30000000,0.25,150000000,,1,0.003,0.1,42,6.554501437646955,702.39892578125,3478624,True,True,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K1_wd0.1_lr3e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K1_wd0.2_lr3e-3,30m,30000000,0.25,150000000,,1,0.003,0.2,42,6.55525905097461,702.9313354492188,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K1_wd0.2_lr3e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K1_wd0.4_lr3e-3,30m,30000000,0.25,150000000,,1,0.003,0.4,42,6.612932478089644,744.6636962890625,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K1_wd0.4_lr3e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K2_wd0.1_lr1e-3,30m,30000000,0.25,150000000,,2,0.001,0.1,42,5.878099157304301,357.1296691894531,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K2_wd0.1_lr1e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K2_wd0.2_lr1e-3,30m,30000000,0.25,150000000,,2,0.001,0.2,42,5.8872583918059265,360.4158630371094,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K2_wd0.2_lr1e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K2_wd0.4_lr1e-3,30m,30000000,0.25,150000000,,2,0.001,0.4,42,5.9098412227570085,368.6475524902344,3478624,True,False,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K2_wd0.4_lr1e-3.json
selfdistill,30M_seed42_dolma_selfdistill_K2_wd0.1_lr3e-3,30m,30000000,0.25,150000000,,2,0.003,0.1,42,5.734212905878315,309.2694396972656,3478624,True,True,dolma_sd_val_loss/chinchilla_0.25/30M/30M_seed42_dolma_selfdistill_K2_wd0.1_lr3e-3.json
